name,betweenness
PRFMnews,20.0
OdyiusJacare,14.0
Laudy_syarief,6.0
KamalZakariah,6.0
urbancikarang,5.0
petajkt,5.0
EndodiK,4.0
SchaHyra_,3.0
detikcom,3.0
airenered,2.0
bpbdjateng,2.0
XXXJYERIN,2.0
rafsankemal1,2.0
lvlyzmiijoo,2.0
dimas_wid,2.0
lalisaahh,1.0
shiqienmozahr,1.0
drdaroyahalwi,1.0
bryzekk,1.0
Rusydi_Waskita,1.0
Sulli03659660,1.0
MarioSjono,1.0
bdrlhsymfz,0.0
Kucing_montok,0.0
soonkyut,0.0
nctese,0.0
mumtazah27,0.0
nrsykn_,0.0
aiminazri21,0.0
_zanhafiz,0.0
SyafiqahKmrudin,0.0
mathsoul1,0.0
nadatulmujarob,0.0
syaurahridzwan,0.0
allydazlkfle,0.0
azreenjohare21,0.0
chikanovani,0.0
tra_anyunt,0.0
asyranirodzi,0.0
sofeanerrisya_,0.0
SurYosodipuro,0.0
svtnujii,0.0
kyrashid,0.0
MohdShaFiqqqq,0.0
aimanabilah17,0.0
Gyl_anG,0.0
ibisbandung,0.0
LilikKhoirudin,0.0
Andi_ZaKi,0.0
Bg_MarOne,0.0
