name,indegree
basuki_btp,24
PRFMnews,11
YouTube,10
temanAhok,9
jokowi,8
kompascom,7
Ndon08,6
petajkt,6
urbancikarang,6
ganjarpranowo,6
ir_achmadhusein,4
TPK_RI,4
Yusrilihza_Mhd,4
BNPB_Indonesia,4
jonru,4
HasanahSaharin,3
Bg_MarOne,3
Cobeh64,3
PemkabBanyumas,3
rlsharley,3
AriffAsyraaff,3
RadioElshinta,3
detikcom,3
jue_Lexy08,3
chuscjung,3
ainathrh_,3
The_Dreamers97,3
IndonesiaHoki,3
WLK_Baesuzy,3
PDI_Perjuangan,3
AdliyanaSalam,3
ygyoonh,2
TataAirJakarta,2
timomanullang,2
bharianmy,2
ASPCINTAYANGTER,2
sripoku,2
infoBMKG,2
BPBDBanyumas,2
dxnd__,2
dimas_wid,2
rajawalingepret,2
adliaziz98,2
bang_dw,2
lingkarannews,2
iqamursit,2
r0sdiyana,2
FtinFrhana,2
ShawnRere,2
rockygerung,2
