name,outdegree
b2erbie,19
OdyiusJacare,14
didimening,13
aliep_budy,12
petajkt,8
Inovator57,7
flinstone_mr,7
EndodiK,7
punpunht,7
Matahar64514971,7
Ramlyyusof2,6
NBLH_JKT48,6
EwanEwangiggs,6
husnasuhaili,6
lutunggunung29,6
KamalZakariah,6
Muslim_Bersatu1,5
LVLYZ_SJS,5
pertiwi_natalia,5
cyjungx,5
sariayu1234523,5
SchaHyra_,4
MarioSjono,4
Hiraka_Silke,4
agusdwiwahyud1,4
lalisaahh,4
Laudy_syarief,4
arethusaxn,4
ShazrizalAz,4
pry_sajo,4
Wkasyraf,4
policyhyuna,4
FerryNLangelo,3
alialfayed3,3
solehinmalek,3
irwan_pjm126,3
yoko_the83,3
XJin_,3
novelaayu,3
Mulyono_Surya,3
IdaNday06,3
XXXJYERIN,3
MUHTARALI6,3
s_mulyatie,3
tabloidimaji,3
BrataRobinto,3
fabianputra,3
LilikKhoirudin,3
syfqhturidi,3
dimas_wid,3
