source,target
DMCDompetDhuafa,infoBMKG
Inovator57,temanAhok
Inovator57,IndonesiaHoki
Inovator57,bungtomsss
PYXLMH90,PYXBaechu91
andreprasetiio_,YouTube
s_mulyatie,Rusydi_Waskita
s_mulyatie,basuki_btp
s_mulyatie,temanAhok
pawirodirjo,YouTube
SJEONGCD,HANEULCD
neohatori,genderaireng
ratusweetelah,nyamandavid
btsvekth,ybrssii
ganangismail15,okezonenews
khamal_ahmad,MaulanaCuexx
khamal_ahmad,mhr_diman
khamal_ahmad,sepatueagle
Ramlyyusof2,KamalZakariah
Ramlyyusof2,romonicastro
Ramlyyusof2,najibeer
Ramlyyusof2,mFaizK13
Ramlyyusof2,KBAB51
Ramlyyusof2,SKMM_MCMC
EtipurnamaS,EtipurnamaS
Jabar_NET,YouTube
Piepah_basyirah,Fakarare
Jabar_NET,YouTube
naufalkahar,amer_hooper
andreajohny1,Restu_Rahayu23
listya0175,SaveIDN
listya0175,ely_susianti
listya0175,kangdede78
Kuvvar,RennyFernandez
Kuvvar,Ianarhas
JajaSyazana,Nouf_Azman
KepriTV,YouTube
infokarang,wordpressdotcom
azmiecumie,atinfatin1
FurqonAzis,dedipratama54
airenered,himchantx
airenered,PLAYMFS
ibistok,Yusrilihza_Mhd
shhsihain,aini_ngali
DinsosDKI1,basuki_btp
DinsosDKI1,BeritaJakarta
daniel_hiskia,Dena_JKT48
RoslizaHasan,Pu3KPasu
rindi06407607,tribunnews
AriyantoEddo,tante_kiss
AriyantoEddo,tante_kiss
iSerly19,ganjarpranowo
iSerly19,ganjarpranowo
kepedihan_aing,fahry87822594
rifatrasjim,Lingkaran
qentooz,Cobeh64
Anyssx_,Daniel_Farsfa
IndahEmely,Qamarul_Hafeez
1015DAHLIAFM,BankBTNcoid
rama_jealfian,YouTube
jeremey_wong,nongandah
jeremey_wong,ahok_btp
theoherutomo,pemkotbekasi
endahrosriani,pikiran_rakyat
naemtja,keistale
atinfatin1,azmiecumie
DarlinaZaqirah,NabilahAdleenaa
SPVibes1,ramlalpogo
haidasarham,azfarzamryGD
haidasarham,bharianmy
CirebonNews,CirebonNews
oip22,DKIJakarta
Muslim_Bersatu1,wakilgubernurKW
InfoWonosobo,Info_Jateng
jokopujakesuma,mata_indigo
jokopujakesuma,Harianterbit_
tvOneNews,kabarsiangtvone
satrio_roiaisas,kompascom
ygurjenn,baejhyunf
topcomjogja,Tokopedia
topcomjogja,KRjogjadotcom
nurul_DieRa,fxhmimustxfx
cogangentot,sexkikwang
LilyHazizan,Naddyrot
nurul_DieRa,fxhmimustxfx
lailynur701,angelpink1106
myrapyja_,MissZurena
shujiokishima,twt_bola
Rivan_YH,dayatbali69
Rivan_YH,petanielegan
fyswal,tacyeoun
fyswal,yerichery
helmi_saman,bernamadotcom
helmi_saman,FMsaman
yerichery,tacyeoun
yerichery,fyswal
beny_sarbani,kompascom
relamalaysia,FriendsOfKDN
arethusaxn,nuradilaarifin
arethusaxn,DynoWanted
arethusaxn,MuzrifahMuhamad
arethusaxn,MieyrulAyiez
KamalZakariah,apekbuta
KamalZakariah,Khairykj
KamalZakariah,mozas_my29
KamalZakariah,LimSianSee
KamalZakariah,RameshRaoAKS
KamalZakariah,Huan2U
OnlineMedan,tribunmedan
hazwaniabuseman,zainzariff
indra28091979,infopkp
zainzariff,hazwaniabuseman
RAJAMARKETING13,jual_beli
drdaroyahalwi,sharethis
trisara_fm,PojokSatu
trisara_fm,thomsonradionet
Muslim_Bersatu1,rajawalingepret
Muslim_Bersatu1,ShawnRere
syananoriza,twt_psis
little_nska,MayaFateha
RancahPost,RancahPost
Muslim_Bersatu1,ShawnRere
Muslim_Bersatu1,rajawalingepret
infosawit,infosawit
ezatfadzil,bam20807
bam20807,ezatfadzil
_aufahumaira_,ainyoonn
ini_tukangojek,TataAirJakarta
ini_tukangojek,ahok
EwanEwangiggs,timomanullang
EwanEwangiggs,alpacino_masrie
EwanEwangiggs,Ndon08
EwanEwangiggs,KopiToba
arifinmhadi,BNPB_Indonesia
arifinmhadi,infobencana
arifinmhadi,palangmerah
PRFMnews,muhamad56666667
SyaNaaaaaaaa,ayehMR
K_Dunguscariang,diskamtam
dyahaditya,ihaann
muhamad56666667,PRFMnews
acuzetyzain,tqah916
tqah916,acuzetyzain
jbrynto,sargitz
NetJateng,YouTube
sargitz,jbrynto
kasejecng,kmingyuv
bluxmccn,ironxmxn
asetiaji,Yusrilihza_Mhd
asetiaji,detikcom
vikry_alzufry,the_nextdev
tabloidimaji,BNPB_Indonesia
tabloidimaji,infoBMKG
tabloidimaji,InfoBanjirV2
h_handoko_9,temponewsroom
noorfaizzan_,SchaHyra_
noorfaizzan_,sherrra_
dimas_wid,kompascom
wacanaisme,sosmedbw
MullSaja,ndon08
SoviIsni,DkpTangerang
SoviIsni,PerjakaGesit
SoviIsni,Kota_Tangerang
sripoku,sripoku
SchaHyra_,noorfaizzan_
SchaHyra_,sherrra_
alexbejo,KompasTV
syamsurizal20,sandi_tarantula
syamsurizal20,bang_dw
syamsurizal20,lingkarannews
detikcom,detik_foto
fatynadylla,Farahw_
aningratnasiwi,info_Sidareja
harizaizat11,drdaroyahalwi
combatandabo72,Cobeh64
GLX_Exy95,GLX_Jin96
dimas_wid,Cobeh64
mbiblee,rlsharley
bpbdjateng,BNPB_Indonesia
bpbdjateng,ganjarpranowo
Roy297,sripoku
EwanEwangiggs,Ndon08
EwanEwangiggs,timomanullang
Mulyono_Surya,Takviri
bbaekbbyun,meatinlove
GLX_Ayeoni93,GLX_KSY96
GLX_Ayeoni93,GLX_Hwangeun98
sariayu1234523,lsmkipang
sariayu1234523,mawaluddin
sariayu1234523,BudiKaryaS
sariayu1234523,jokowi
sariayu1234523,KPK_RI
Mulyono_Surya,Takviri
Mulyono_Surya,koeztri
MarioSjono,EndodiK
MarioSjono,spardaxyz
MarioSjono,bjakarta171
MarioSjono,SuaraIslamOn
EndodiK,AjengCute16
EndodiK,Gemacan70
EndodiK,TofaLemon
EndodiK,macan_utara
Rusydi_Waskita,basuki_btp
Rusydi_Waskita,temanahok
GLX_KSY96,GLX_Ayeoni93
GLX_KSY96,GLX_Hwangeun98
EndodiK,MarioSjono
EndodiK,spardaxyz
EndodiK,bjakarta171
MarissaP72,irawan_fan28
HumasDenpasar,ProDenpasar
Otty_Hamid,maspiyungan
sisca789,o_pripot
yunitaproborini,ozradiobandung
zaim_ramli,jembalanque
lalisaahh,iTaeyongg
lalisaahh,chuscjung
dadi_Waa,bpbd_jatim
CaityB_RP,bryzekk
bryzekk,beepolawr
bryzekk,CaityB_RP
ZyeDanisH,TwtLelaki
JPAMKSELANGOR,JPAMSELANGOR
JPAMKSELANGOR,JPAMtwiter
jams_ahmad,basuki_btp
jams_ahmad,tempodotco
doemyati,suaranews
syazasairan,khaleekhairi
ahmadjazuli91,prfmnews
rizalarifine,ozradiobandung
rizalarifine,ouvalresearch
ElinAzka,Kuisnesian
ElinAzka,MariKitaKuis
misszpurpink,Megat_Adry
Ainanaat,fxdzlih
BangUmar_,PDI_Perjuangan
SchaHyra_,afeeqiskandarr
ahmadjazuli91,PRFMnews
afeeqiskandarr,SchaHyra_
Inovator57,IndonesiaHoki
Inovator57,temanAhok
petajkt,mevan31622327
petajkt,petajkt
pry_sajo,psdajateng
pry_sajo,buddyJoank
charlietangoat3,xxJJake
charlietangoat3,gigilonggar
