,username,tweet,date
0,andiraayu22,Sisa banjir kemaren 😂 https://t.co/fKnj9L6gUR,2016-09-20T07:44:08.000Z
1,dw_indonesia,Banjir Listrik di Gurun Sahara https://t.co/UQtNdeF3BN https://t.co/11oSCR1BXQ,2016-09-20T07:43:34.000Z
2,DMCDompetDhuafa,@infoBMKG Banten : (BMKG) memperkirakan sepekan ke depan curah hujan meningkat di Kab. Lebak sehingga berpotensi #banjir dan #longsor,2016-09-20T07:43:01.000Z
3,krimiyeri,mt gua banjir bgt apaka kepilih?,2016-09-20T07:42:11.000Z
4,UtaraNews,"Permintaan Tak Munasabah Guan Eng Untuk Selesaikan Masalah Banjir Di P.Pinang 
https://t.co/RgJdnllggb",2016-09-20T07:41:19.000Z
5,Inovator57,"Teknik Pengendalian Banjir
Sampekan segera ke Ahok
@temanAhok @IndonesiaHoki @bungtomsss 

https://t.co/jnOx24SzX7 https://t.co/j542A2nIHb",2016-09-20T07:41:16.000Z
6,PYXLMH90,@PYXBaechu91 laporan dari lmh diketahui banjir bandang telah menimpa mention bejeha,2016-09-20T07:40:21.000Z
7,darwinarya,Banjir Keringat Cicipi Makanan Khas Manado https://t.co/HHkUnl45ms #kulinerDenpasar #wisatakuliner #rumahmakanroa #khasmanado,2016-09-20T07:39:29.000Z
8,PYXBaechu91,"Bentar, mentab masih rawan banjir.",2016-09-20T07:37:58.000Z
9,IvanFreekz,Banjir lagi banjir lagi,2016-09-20T07:37:48.000Z
10,ghia_princess,"Besok atw...
Diprumnas musim banjir...",2016-09-20T07:37:34.000Z
11,Myyraaaa__,Wehhhh klang banjir ke ???? 😰😰,2016-09-20T07:37:25.000Z
12,TataAirJakarta,Satgas banjir sudin jaktim masih mengangkat sampah di saluran jl sutoyo yg menghambat air... https://t.co/lTfUhWCJEk,2016-09-20T07:34:49.000Z
13,andreprasetiio_,Detik-Detik Bus Sekolah Hanyut di Terjang Banjir Membawa Anak Sekolah: https://t.co/A63CUI0DJp via @YouTube,2016-09-20T07:34:31.000Z
14,s_mulyatie,"@Rusydi_Waskita 

Salah Mas
Mnrt @basuki_btp @temanAhok yg mnyebabkn banjir itu bkn reklamasi
Tp Air HUJAN

Nah kali ini aku setuju sm mrk 😂",2016-09-20T07:33:24.000Z
15,airplneslrh,"mudahan hujannya mpe besok, trs sekolah banjir jd libur hehe amin y amin",2016-09-20T07:32:48.000Z
16,pawirodirjo,Banjir di Perpustakaan di UGM https://t.co/Muw4OBXNJU via @YouTube,2016-09-20T07:31:19.000Z
17,KabarMayaCom,"Rilis Lagu Duet Bareng Young Lex,  Awkarin Justru banjir Cibiran dan Dislike - https://t.co/Qo489ZY8Zu",2016-09-20T07:31:19.000Z
18,hadipramono77,"Loh kantanya bebas banjir, apakah banjir bebas kemana-mana 
https://t.co/SAolF9oYx6",2016-09-20T07:31:01.000Z
19,DAENGTOGEL2,Buat areal yg langganan banjir https://t.co/F55eNqk2Eq,2016-09-20T07:29:15.000Z
20,SJEONGCD,"@HANEULCD nangs aja neul,ampe banjir satu rpw,malah gua timpukan bolabasket nie ewkwk",2016-09-20T07:26:15.000Z
21,BeritaInformasi,Warga Perumahan Cemas Kena Banjir https://t.co/xEZnVno2pK,2016-09-20T07:23:41.000Z
22,DMCDompetDhuafa,#Banjir di Kabupaten Pekalongan Makin Parah https://t.co/WxrvQgQuE0,2016-09-20T07:23:06.000Z
23,HaloHalopolisi,Lanal Malang Gelar Baksos Pasca Banjir Bandang di Desa Pujiharjo https://t.co/NxiW5DAg2f https://t.co/U5HF0Ogak2,2016-09-20T07:22:12.000Z
24,PedroVolley,"Kyk ny banjir lgi ne Samarinda,,",2016-09-20T07:21:32.000Z
25,harimaukota,Majlis Penyampaian Sumbangan kepada mangsa-mangsa banjir telah disempurnakan oleh Dato' Faizal… https://t.co/LARQ6qxWn7,2016-09-20T07:21:05.000Z
26,neohatori,"@genderaireng bukan banjir dan bukan genangan, tol laut sdh sampai Balai kota :)",2016-09-20T07:20:10.000Z
27,dwi_ariskaa,Hujan sebentar banjir sudah 😄,2016-09-20T07:18:21.000Z
28,MRI_Mdn,"Dibendung Banjir, Aksi Relawan Trenggalek Tak Kenal Capek https://t.co/QfAKFQskaY https://t.co/lqgN2zJdtM",2016-09-20T07:18:07.000Z
