name,betweenness
petajkt,415052.57639163855
YCH7168,346631.43221801915
arya_dipa45,292497.7009288645
TMCPoldaMetro,279165.4578935166
RadioElshinta,259694.28211005172
mlmkabeh,202234.06196373564
Rahindradi84,197727.59390420432
reporterjail,164187.88480114687
haloJakarta,158156.1427630364
kangsemproel,151804.31843439708
TataAirJakarta,104500.05154586941
cagubnyinyir,94473.88017761837
timomanullang,92903.35184892337
inyongniy,77953.64748172423
hariadhi,76576.49700907033
penguasahati,74269.6085458812
DKIJakarta,64942.87108256916
indrierahman,64815.15134080827
Restyies,62004.23009482304
Grace21wang,56002.94724817841
Umara7557,55269.06022499049
HeryKuvvar,54655.14893601595
yudissejahtera,50702.32284628341
sayutiandy,48838.07913278232
OdyiusJacare,44002.11437706469
GunRomli,42207.972344131995
BPBDJakarta,42098.25167917704
Dilodari,41411.86781620394
ChebonkOke,40463.913009850185
sindhu_wibowo,39939.88915305187
bang_siomay,37574.15823603135
ssirah,35018.26647706359
ILoSanre,33028.91033718203
hapeproperti,31656.643761254207
EndodiK,30830.96384112432
kristwianto,28476.410853468107
Agumovic,28350.830616748397
kuvvar,27449.77429290621
lllIIlllllIllll,25334.97617436029
desahkalbu,25091.442167434376
ngeTweetAja,24120.41695695297
Dino_Pdo,24077.41695695297
topelucky,23932.321708795273
ulumtjl,23298.04269062331
ichageuliz,23142.13867181402
BeritaJakarta,22636.613538150094
ArnaldoPellini,22352.496694040925
teguh_har,21710.67214112586
AntonBagaspati,21664.086919137964
radenano,21513.71853622651
