name,indegree
YouTube,19
basuki_btp,12
RadioElshinta,9
IMS_NET,8
petajkt,7
ganjarpranowo,6
PRFMnews,5
TMCPoldaMetro,5
BeritaJakarta,5
bpbdcilacap,5
detikcom,5
shfqhjais,5
yukikatou2,5
BinaMargaDKI,4
kompascom,4
heurinie,4
mrspersona,4
TataAirJakarta,4
qeah_nur,3
infobencana,3
holyshiddd,3
aheryawan,3
Cutejesie_08,3
risholuyah,3
KodokJiyoung,3
BinaMargaJakBar,3
jokowi,3
InfodariAnda_ID,3
_nrafirza,3
pinkzlisa,3
Leo_Consul,3
ridwankamil,3
suwjoye,3
cmlimguaneng,3
PYXPimtha92,3
sejonrg,3
kwwendy,3
bxblxxs,3
BPBDJakarta,2
fahmiizuddin54,2
jual_beli,2
tamrintomagola,2
TanteJenny2,2
okezonenews,2
MG_JEJ93,2
waze,2
republikaonline,2
kristaaaalll,2
khilw4,2
Kuisnesian,2
