name,outdegree
petajkt,56
SalehSuyono,26
KangBaraSr,24
KataMasJack,24
PeluangBerita,24
ILoSanre,21
OdyiusJacare,20
ShawnRere,18
cagubnyinyir,16
MsLNE99,16
mlmkabeh,14
WarnaFakta,14
infokawulamuda,14
RadioElshinta,13
bkyune,12
kristwianto,11
athcrnax,11
rljunm,9
topiknews,9
OCTEN96,9
jejofc,8
tonywibowo12,8
arekgubeng2,8
OMG8HEE,8
beny_sarbani,8
bambang_irawan,7
KlMYERlA,7
doy2eon,7
KwJin92,7
erwinwinardi55,7
Tong__Mew,7
oshnjx,7
Inovator57,7
TweetParpol,7
jeonwonusvtn,7
aprxhdite,7
bjylaboum94,6
kryctah,6
ee121Z4L,6
rlprinces,6
fxler,6
suherrizal27,6
kin2709,6
yeonkid_,6
rajawalingepret,6
headshot_ID,6
NL_Yuta95,6
petrihcor,6
NovNuraidah,5
kxmbobby,5
